Observation Time,X,Y,Z
2025-2-24 2:14:0,-2671290.3950677244,1571715.3712443786,-1300392.9659705982
2025-2-24 2:15:0,-2671298.098452124,1571722.3214091735,-1300394.9924560413
2025-2-24 2:15:0,-2671298.6251206724,1571723.720117517,-1300394.8164449558
2025-2-24 2:16:0,-2341897.557322058,1678426.1748408752,-1187667.2111383304
2025-2-24 2:16:0,-2341898.7685036985,1678426.7428798156,-1187667.3952508792
2025-2-24 2:17:0,-2341898.5848832456,1678425.9143161254,-1187667.4812999591
2025-2-24 2:17:0,-2341899.066824469,1678426.7363376098,-1187667.5316387042
2025-2-24 2:18:0,-2341896.6366143553,1678424.9307307678,-1187666.9906049594
2025-2-24 2:18:0,-2341890.1516595213,1678419.2748622375,-1187665.0629983768
2025-2-24 2:19:0,-2341894.5015321104,1678422.7947749572,-1187666.4135347232
2025-2-24 2:19:0,-2341897.7302499143,1678425.755918451,-1187667.1456457004
2025-2-24 2:20:0,-2341898.604071173,1678426.239183374,-1187667.612186037
2025-2-24 2:20:0,-2341900.868120703,1678428.279695459,-1187668.0659299716
2025-2-24 2:21:0,-2341901.08249906,1678428.4797229248,-1187668.162264429
2025-2-24 2:21:0,-2341894.674116644,1678423.5970935302,-1187666.1759610996
2025-2-24 2:22:0,-2341891.179182562,1678420.1173419433,-1187665.084294878
2025-2-24 2:22:0,-2341888.555216345,1678418.4268168884,-1187664.356463991
2025-2-24 2:23:0,-2341900.087122473,1678427.9458789306,-1187667.4236703739
2025-2-24 2:23:0,-2341901.6191583006,1678428.6132525878,-1187668.0550371036
2025-2-24 2:24:0,-2341900.463884863,1678427.745836206,-1187667.535729967
2025-2-24 2:24:0,-2341897.7828088133,1678425.6695804077,-1187666.9382549152
2025-2-24 2:25:0,-2341887.929926428,1678417.8803042846,-1187664.0844856128
2025-2-24 2:25:0,-2341892.059851202,1678421.436738916,-1187665.5182147846
2025-2-24 2:26:0,-2341895.5481667845,1678424.2215899902,-1187666.232732378
2025-2-24 2:26:0,-2341897.367868933,1678425.8010615783,-1187666.6556192264
2025-2-24 2:27:0,-2341898.4770379392,1678426.0922870117,-1187667.0581889972
2025-2-24 2:27:0,-2341894.6120400755,1678422.9296016174,-1187665.9908061847
2025-2-24 2:28:0,-2341896.3488335935,1678424.9799060302,-1187666.4147382602
2025-2-24 2:28:0,-2341900.6543374388,1678428.4219226318,-1187667.7173057422
2025-2-24 2:29:0,-2341899.6175065367,1678427.1993579345,-1187667.549340807
2025-2-24 2:29:0,-2341895.567663702,1678424.3736018615,-1187666.486685358
2025-2-24 2:30:0,-2341895.130075964,1678423.307920404,-1187666.6679521427
2025-2-24 2:30:0,-2341894.328424963,1678423.2873630004,-1187666.1214967594
2025-2-24 2:31:0,-2341892.778414282,1678422.321580835,-1187665.5040651187
2025-2-24 2:31:0,-2341892.858507666,1678422.8504924255,-1187665.4149375781
2025-2-24 2:32:0,-2341898.004335913,1678427.200460382,-1187667.1131530628
